x_value,total_1,total_2
0,1000,1000
1,1007,995
2,1010,999
3,1008,999
4,1013,1004
5,1020,1010
6,1019,1014
7,1017,1010
8,1022,1013
9,1029,1017
10,1030,1018
11,1025,1021
12,1022,1020
13,1024,1018
14,1032,1017
15,1028,1012
16,1036,1007
17,1034,1011
18,1035,1015
19,1041,1020
20,1038,1017
21,1043,1012
22,1038,1010
23,1038,1013
24,1035,1009
25,1035,1010
26,1037,1014
27,1043,1011
28,1039,1008
29,1035,1008
30,1042,1011
31,1039,1010
32,1047,1013
33,1055,1016
34,1054,1018
35,1059,1018
36,1066,1024
37,1062,1026
38,1060,1032
39,1059,1031
40,1064,1029
41,1061,1031
42,1060,1028
43,1068,1031
44,1075,1031
45,1078,1036
46,1073,1039
47,1075,1037
48,1077,1036
49,1073,1041
50,1071,1037
51,1073,1036
52,1069,1040
53,1074,1036
54,1074,1038
55,1073,1039
56,1074,1037
57,1071,1039
58,1070,1044
59,1078,1040
60,1085,1040
61,1087,1044
62,1082,1042
63,1080,1047
64,1079,1043
65,1087,1046
66,1093,1041
67,1096,1044
68,1093,1044
69,1095,1044
70,1098,1048
71,1102,1049
72,1101,1053
73,1108,1057
74,1111,1060
75,1117,1064
76,1119,1070
77,1124,1066
78,1129,1061
79,1137,1067
80,1140,1072
81,1146,1071
82,1145,1069
83,1140,1073
84,1136,1075
85,1143,1080
86,1151,1075
87,1151,1080
88,1152,1080
89,1153,1081
90,1151,1082
91,1157,1082
92,1152,1084
93,1155,1087
94,1162,1084
95,1163,1086
96,1163,1082
